City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Mumford,GH,77.88,broken clouds,5.2618,-0.759,Spanish Villa
534,Alenquer,BR,75.54,light rain,-1.9417,-54.7383,Josilene Castro
536,Mana,GF,78.21,light rain,5.6592,-53.7767,LE SAMANA
538,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
542,Auki,SB,86.79,clear sky,-8.7676,160.7034,Auki Motel
544,Gusau,NG,73.51,scattered clouds,12.1628,6.6614,GUEST INN
545,Bluefields,NI,74.48,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
546,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
550,Samarai,PG,85.66,clear sky,-10.6167,150.6667,Nuli Sapi
555,Nakambala,ZM,74.59,few clouds,-15.8324,27.7799,Staff Area
558,Tual,ID,84.43,moderate rain,-5.6667,132.75,Grand Vilia Hotel
563,Seoul,KR,70.99,clear sky,37.5683,126.9778,Lotte Hotel Seoul
565,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
568,Narayanavanam,IN,74.98,light rain,13.4167,79.5833,Sri Krishna Residency
570,Jalingo,NG,76.39,overcast clouds,8.8833,11.3667,Debright Motel
574,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
583,Barao De Melgaco,BR,72.12,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
585,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
591,Itarema,BR,78.96,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
594,Fomboni,KM,80.28,broken clouds,-12.28,43.7425,Auberge les abou
599,Biak,ID,83.86,light rain,-0.9131,122.8766,Penginapan Kim
601,Dakar,SN,80.73,clear sky,14.6937,-17.4441,Redface Studios Meublés
603,Buluang,PH,86.4,moderate rain,13.3068,123.3425,Enon Beach Resort
611,Kijang,KR,71.33,few clouds,35.2442,129.2139,Samyang Beach Villa
612,Pathein,MM,84.15,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
616,Port Blair,IN,84.96,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
617,Muisne,EC,74.79,overcast clouds,0.6,-80.0333,Quinta Samay
620,Arlit,NE,77.56,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
622,Marsaxlokk,MT,76.08,clear sky,35.8419,14.5431,Water's Edge
623,Hirara,JP,82.26,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
625,Cururupu,BR,74.19,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
638,Omboue,GA,77.16,light rain,-1.5746,9.2618,Hotel Olako
639,Jertih,MY,89.47,overcast clouds,5.7336,102.4897,One Utama Hotel
644,Dwarka,IN,81.48,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
645,Tomatlan,MX,73.45,broken clouds,19.9333,-105.25,El Salvial
648,Sirhind,IN,70.84,clear sky,30.6456,76.3825,Taj Motel
