City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Okhotsk,RU,59.3833,143.3,12.94,80,17,14.63,few clouds
148,Butaritari,KI,3.0707,172.7902,82.24,71,100,18.21,overcast clouds
149,Baruun-Urt,MN,46.6806,113.2792,19.72,37,26,2.57,scattered clouds
150,Erdenet,MN,49.0333,104.0833,13.68,86,100,2.89,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,56.88,82,100,5.39,overcast clouds
152,Krasnovishersk,RU,60.4078,57.082,24.1,95,100,9.75,light snow
153,Belaya Gora,RU,68.5333,146.4167,-17.54,98,100,2.24,overcast clouds
154,Hasaki,JP,35.7333,140.8333,64.29,64,39,19.19,scattered clouds
155,Yellowknife,CA,62.456,-114.3525,0.41,97,100,4.0,overcast clouds
156,Srednekolymsk,RU,67.45,153.6833,-0.72,97,100,2.77,light snow
157,Rorvik,NO,64.8621,11.2373,44.24,66,100,32.77,overcast clouds
158,Pevek,RU,69.7008,170.3133,-6.18,87,75,4.25,broken clouds
159,Palmer,US,42.1584,-72.3287,38.08,63,40,6.91,scattered clouds
160,Esperance,AU,-33.8667,121.9,63.82,49,6,8.97,clear sky
161,Pitsunda,GE,43.1592,40.3378,48.38,86,100,5.64,moderate rain
162,Nagram,IN,26.6167,81.1333,64.45,47,96,5.28,overcast clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,68.56,90,37,5.01,scattered clouds
164,West Lafayette,US,40.4259,-86.9081,37.11,67,1,8.05,clear sky
165,Miquelon,PM,47.0975,-56.3814,46.42,94,100,17.52,overcast clouds
166,Wenzhou,CN,27.9994,120.6668,67.03,65,100,2.1,overcast clouds
167,Tuktoyaktuk,CA,69.4541,-133.0374,-3.17,95,74,7.25,broken clouds
168,Oranjestad,AW,12.524,-70.027,82.35,78,20,12.66,few clouds
169,Gumdag,TM,39.2061,54.5906,38.44,46,100,8.68,overcast clouds
170,Trat,TH,12.5,102.5,82.98,84,100,1.79,overcast clouds
171,Bambanglipuro,ID,-7.95,110.2833,78.44,83,100,2.66,overcast clouds
172,San Rafael,AR,-34.6177,-68.3301,70.88,41,3,4.72,clear sky
173,Zaraza,VE,9.3503,-65.3245,77.95,76,99,7.02,overcast clouds
174,Pemba,MZ,-12.974,40.5178,79.79,71,91,10.18,overcast clouds
175,Tuatapere,NZ,-46.1333,167.6833,50.14,93,100,1.86,overcast clouds
176,Havelock,US,34.8791,-76.9013,47.98,69,2,4.0,clear sky
177,Kahului,US,20.8947,-156.47,84.22,70,1,17.27,clear sky
178,Talnakh,RU,69.4865,88.3972,-10.77,95,90,7.72,overcast clouds
179,Hambantota,LK,6.1241,81.1185,75.54,100,0,3.44,clear sky
180,Yulara,AU,-25.2406,130.9889,89.44,29,70,11.5,broken clouds
181,Chapais,CA,49.7834,-74.8492,20.98,85,100,10.78,overcast clouds
182,Ust-Omchug,RU,61.15,149.6333,-3.66,100,99,3.4,overcast clouds
183,Vostok,RU,46.4856,135.8833,24.3,76,92,1.66,overcast clouds
184,Kaeo,NZ,-35.1,173.7833,68.32,80,100,8.23,overcast clouds
185,Emerald,AU,-23.5333,148.1667,86.34,37,2,9.35,clear sky
186,Kelo,TD,9.3086,15.8066,76.37,31,8,3.36,clear sky
187,Kamaishi,JP,39.2667,141.8833,51.03,50,8,5.77,clear sky
188,Lompoc,US,34.6391,-120.4579,59.11,88,75,8.05,broken clouds
189,Dourbali,TD,11.8091,15.8632,78.13,22,2,9.04,clear sky
190,Pabrade,LT,55.0,25.7833,48.63,78,80,17.96,broken clouds
191,Macon,US,39.8667,-88.9668,37.71,75,1,10.36,clear sky
192,Ormara,PK,25.2088,64.6357,70.57,31,0,10.33,clear sky
193,Madaoua,NE,14.073,5.96,75.85,14,0,9.8,clear sky
194,Sola,VU,-13.8833,167.55,78.31,78,97,4.0,overcast clouds
195,Gornopravdinsk,RU,60.05,69.9,20.39,93,100,9.91,overcast clouds
196,Sogne,NO,58.0833,7.8167,48.69,78,100,9.73,overcast clouds
197,Ribeira Grande,PT,38.5167,-28.7,66.06,76,98,22.06,overcast clouds
198,Guarda,PT,40.5373,-7.2658,45.23,86,100,3.96,overcast clouds
199,Labuhan,ID,-6.8844,112.2051,77.2,89,100,4.03,moderate rain
200,Roald,NO,62.5833,6.1333,44.33,93,100,20.92,moderate rain
201,Halifax,CA,44.6453,-63.5724,39.42,89,46,4.0,scattered clouds
202,Buala,SB,-8.145,159.5921,85.8,62,100,2.21,light rain
203,Lahad Datu,MY,5.0268,118.327,86.07,68,76,0.4,broken clouds
204,Lingao,CN,19.9103,109.6859,78.4,68,10,12.24,clear sky
205,Sitka,US,57.0531,-135.33,33.69,80,75,5.75,broken clouds
206,Kendari,ID,-3.945,122.4989,86.72,66,99,5.61,overcast clouds
207,Walvis Bay,NA,-22.9575,14.5053,57.09,96,44,5.57,scattered clouds
208,Geraldton,AU,-28.7667,114.6,86.41,30,0,12.66,clear sky
209,Caravelas,BR,-17.7125,-39.2481,76.91,86,68,11.21,broken clouds
210,Nardaran,AZ,40.5561,50.0056,46.04,76,0,4.61,clear sky
211,Dakar,SN,14.6937,-17.4441,77.88,79,88,14.38,overcast clouds
212,Saint George,US,37.1041,-113.5841,60.35,36,1,1.01,clear sky
213,Saldanha,ZA,-33.0117,17.9442,59.68,85,19,16.08,few clouds
214,Tautira,PF,-17.7333,-149.15,86.02,72,19,16.67,few clouds
215,Christchurch,NZ,-43.5333,172.6333,73.99,38,100,6.91,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,59.74,74,0,8.63,clear sky
217,Kharp,RU,66.8014,65.8081,2.52,98,100,7.05,light snow
218,Port Alfred,ZA,-33.5906,26.891,61.56,75,65,3.06,broken clouds
219,Winslow,US,35.0242,-110.6974,54.97,27,1,8.05,clear sky
220,Karlstad,SE,59.3793,13.5036,41.56,65,44,10.36,scattered clouds
221,Arlit,NE,18.7369,7.3853,77.02,20,88,7.2,overcast clouds
222,Kesova Gora,RU,57.5836,37.2922,31.96,98,100,9.86,light snow
223,Whitehorse,CA,60.7161,-135.0538,-8.9,76,20,4.0,few clouds
224,Yeniseysk,RU,58.4497,92.1703,3.09,93,100,5.53,overcast clouds
225,Harbour Breton,CA,47.4833,-55.7983,52.0,97,100,20.33,overcast clouds
226,Karaton,ID,-6.3424,106.1045,87.96,83,100,3.56,overcast clouds
227,Atasu,KZ,48.6814,71.6433,-0.62,86,65,5.53,broken clouds
228,Kijang,KR,35.2442,129.2139,61.48,61,0,6.85,clear sky
229,Lensk,RU,60.7253,114.9278,9.64,94,100,4.72,overcast clouds
230,Wahiawa,US,21.5028,-158.0236,80.92,63,1,11.5,clear sky
231,Kudahuvadhoo,MV,2.6708,72.8944,82.49,74,89,19.04,overcast clouds
232,Simbahan,PH,6.3032,120.5836,82.83,79,29,6.17,scattered clouds
233,Obo,CF,5.3998,26.4869,70.52,85,66,2.48,broken clouds
234,Richards Bay,ZA,-28.783,32.0377,60.91,92,100,4.94,light rain
235,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,8.05,few clouds
236,Yarega,RU,63.4354,53.5765,29.43,93,100,10.22,overcast clouds
237,Conde,BR,-7.2597,-34.9075,77.47,76,97,11.59,overcast clouds
238,Braganca,BR,-1.0536,-46.7656,75.61,96,31,1.59,scattered clouds
239,Loganville,US,33.839,-83.9007,50.09,68,1,3.44,clear sky
